member_id,first_name,last_name,full_name,division,house,party,from_date,from_why,to_date,to_why,gender
100001,Eric,Abetz,Eric Abetz,Tasmania,senate,Liberal Party,1994-02-22,unknown,9999-12-31,still_in_office,male
100002,Judith,Adams,Judith Adams,WA,senate,Liberal Party,2005-07-01,general_election,2012-03-31,died,female
100003,Lyn,Allison,Lyn Allison,Victoria,senate,Australian Democrats,1996-07-01,general_election,2008-06-30,unknown,female
100004,Richard,Alston,Richard Alston,Victoria,senate,Liberal Party,1986-05-07,unknown,2004-02-10,resigned,male
100005,Brian,Archer,Brian Archer,Tasmania,senate,Liberal Party,1975-12-13,general_election,1994-01-31,resigned,male
100006,Terrence,Aulich,Terrence Aulich,Tasmania,senate,Australian Labor Party,1984-12-01,general_election,1993-06-30,unknown,male
100007,Guy,Barnett,Guy Barnett,Tasmania,senate,Liberal Party,2002-02-26,unknown,2011-06-30,unknown,male
100008,Andrew,Bartlett,Andrew Bartlett,Queensland,senate,Australian Democrats,1997-10-30,unknown,2008-06-30,unknown,male
100875,Andrew,Bartlett,Andrew Bartlett,Queensland,senate,Australian Greens,2017-11-10,unknown,2018-08-27,resigned,male
100009,Michael,Baume,Michael Baume,NSW,senate,Liberal Party,1985-07-01,general_election,1996-09-09,resigned,male
100010,Peter,Baume,Peter Baume,NSW,senate,Liberal Party,1974-05-18,general_election,1991-01-28,resigned,male
100011,Michael,Beahan,Michael Beahan,WA,senate,Australian Labor Party,1987-07-11,general_election,1994-02-01,changed_party,male
100272,Michael,Beahan,Michael Beahan,WA,senate,PRES,1994-02-01,changed_party,1996-06-30,unknown,male
100012,Robert,Bell,Robert Bell,Tasmania,senate,Australian Democrats,1990-03-07,unknown,1996-06-30,unknown,male
100013,Cory,Bernardi,Cory Bernardi,SA,senate,Liberal Party,2006-05-04,unknown,2017-02-07,changed_party,male
100866,Cory,Bernardi,Cory Bernardi,SA,senate,Australian Conservatives,2017-02-07,changed_party,9999-12-31,still_in_office,male
100014,Simon,Birmingham,Simon Birmingham,SA,senate,Liberal Party,2007-05-03,unknown,9999-12-31,still_in_office,male
100015,Bronwyn,Bishop,Bronwyn Bishop,NSW,senate,Liberal Party,1987-07-11,general_election,1994-02-24,resigned,female
100016,Mark,Bishop,Mark Bishop,WA,senate,Australian Labor Party,1996-07-01,general_election,2014-06-30,retired,male
100017,Reginald,Bishop,Reginald Bishop,SA,senate,Australian Labor Party,1962-07-01,general_election,1981-06-30,retired,male
100018,Florence,Bjelke-Petersen,Florence Bjelke-Petersen,Queensland,senate,National Party,1981-03-12,unknown,1993-06-30,retired,female
100019,John,Black,John Black,Queensland,senate,Australian Labor Party,1984-12-01,general_election,1990-06-30,unknown,male
